ID1	ID2	turn_all	turn_no	word	sentence
D49	JE_2	4	2	12	2
D49	JE_2	4	3	4	2
D49	JE_2	4	4	31	1
D50	JE_11	6	1	33	3
D50	JE_11	6	2	13	2
D50	JE_11	6	3	7	2
D50	JE_11	6	4	1	1
D50	JE_11	6	5	4	2
D50	JE_11	6	6	3	1
D51	JE_15	3	1	5	2
D51	JE_15	3	2	7	2
D51	JE_15	3	3	7	1
D52	JE_17	3	1	10	2
D52	JE_17	3	2	3	2
D52	JE_17	3	3	12	1
D53	JE_23	11	1	24	1
D53	JE_23	11	2	24	2
D53	JE_23	11	3	9	3
D53	JE_23	11	4	12	2
D53	JE_23	11	5	8	2
D53	JE_23	11	6	19	3
D53	JE_23	11	7	5	2
D53	JE_23	11	8	5	2
D53	JE_23	11	9	5	2
D53	JE_23	11	10	9	2
D53	JE_23	11	11	4	1
D54	JE_28	3	1	27	3
D54	JE_28	3	2	3	2
D54	JE_28	3	3	7	1
D55	JE_30	6	1	14	1
D55	JE_30	6	2	3	2
D55	JE_30	6	3	2	2
D55	JE_30	6	4	7	2
D55	JE_30	6	5	36	2
D55	JE_30	6	6	11	1
D56	JE_34	4	1	4	2
D56	JE_34	4	2	2	2
D56	JE_34	4	3	7	2
D56	JE_34	4	4	3	1
D57	JE_39	3	1	7	2
D57	JE_39	3	2	7	2
D57	JE_39	3	3	6	1
D58	JE_46	7	1	4	2
D58	JE_46	7	2	5	2
D58	JE_46	7	3	2	2
D58	JE_46	7	4	3	2
D58	JE_46	7	5	5	2
D58	JE_46	7	6	8	2
D58	JE_46	7	7	1	1
D59	JE_50	4	1	6	2
D59	JE_50	4	2	26	2
D59	JE_50	4	3	26	3
D59	JE_50	4	4	24	1
D60	JE_56	11	1	40	1
D60	JE_56	11	2	15	2
D60	JE_56	11	3	46	5
D60	JE_56	11	4	13	2
D60	JE_56	11	5	5	2
D60	JE_56	11	6	6	2
D60	JE_56	11	7	5	2
D60	JE_56	11	8	18	2
D60	JE_56	11	9	5	2
D60	JE_56	11	10	5	2
D60	JE_56	11	11	21	2
D61	JE_60	11	1	4	2
D61	JE_60	11	2	4	2
D61	JE_60	11	3	3	2
D61	JE_60	11	4	2	2
D61	JE_60	11	5	7	2
D61	JE_60	11	6	6	2
D61	JE_60	11	7	4	2
D61	JE_60	11	8	5	2
D61	JE_60	11	9	5	2
D61	JE_60	11	10	3	2
D61	JE_60	11	11	4	1
D62	AK_9	4	1	10	2
D62	AK_9	4	2	5	2
D62	AK_9	4	3	14	3
D62	AK_9	4	4	17	2
D63	AK_19	4	1	3	2
D63	AK_19	4	2	6	2
D63	AK_19	4	3	12	5
D63	AK_19	4	4	3	1
D64	AK_26	3	1	11	4
D64	AK_26	3	2	14	3
D64	AK_26	3	3	8	1
D65	AK_86	5	1	6	2
D65	AK_86	5	2	15	2
D65	AK_86	5	3	14	1
D65	AK_86	5	4	3	1
D65	AK_86	5	5	8	2
D66	AK_31	4	1	29	4
D66	AK_31	4	2	10	2
D66	AK_31	4	3	5	1
D66	AK_31	4	4	12	2
D67	AK_34	5	1	18	1
D67	AK_34	5	2	25	1
D67	AK_34	5	3	33	4
D67	AK_34	5	4	18	4
D67	AK_34	5	5	10	1
D68	AK_40	3	1	8	2
D68	AK_40	3	2	16	2
D68	AK_40	3	3	11	1
D69	AK_45	9	1	8	2
D69	AK_45	9	2	5	2
D69	AK_45	9	3	18	2
D69	AK_45	9	4	10	3
D69	AK_45	9	5	46	5
D69	AK_45	9	6	7	2
D69	AK_45	9	7	2	2
D69	AK_45	9	8	7	2
D69	AK_45	9	9	24	2
D70	AK_48	4	1	6	1
D70	AK_48	4	2	26	4
D70	AK_48	4	3	15	2
D70	AK_48	4	4	27	1
D71	AK_51	3	1	16	1
D71	AK_51	3	2	9	2
D71	AK_51	3	3	21	3
D72	AK_55	6	1	6	2
D72	AK_55	6	2	5	2
D72	AK_55	6	3	12	2
D72	AK_55	6	4	8	2
D72	AK_55	6	5	41	5
D72	AK_55	6	6	9	1
D73	AK_56	3	1	5	2
D73	AK_56	3	2	6	2
D73	AK_56	3	3	9	2
D74	AK_6	4	1	6	1
D74	AK_6	4	2	31	2
D74	AK_6	4	3	15	1
D74	AK_6	4	4	9	1
D75	AK_66	5	1	13	2
D75	AK_66	5	2	8	2
D75	AK_66	5	3	1	1
D75	AK_66	5	4	3	2
D75	AK_66	5	5	28	5
D76	AK_69	6	1	10	2
D76	AK_69	6	2	7	2
D76	AK_69	6	3	11	1
D76	AK_69	6	4	11	2
D76	AK_69	6	5	9	2
D76	AK_69	6	6	44	6
D77	AK_81	8	1	6	2
D77	AK_81	8	2	7	2
D77	AK_81	8	3	10	3
D77	AK_81	8	4	24	2
D77	AK_81	8	5	8	1
D77	AK_81	8	6	7	1
D77	AK_81	8	7	5	2
D77	AK_81	8	8	46	6
D78	AK_83	4	1	9	2
D78	AK_83	4	2	7	2
D78	AK_83	4	3	5	2
D78	AK_83	4	4	4	1
D79	AK_85	3	1	11	2
D79	AK_85	3	2	5	2
D79	AK_85	3	3	5	1
D80	OT_14	4	1	19	1
D80	OT_14	4	2	42	3
D80	OT_14	4	3	35	1
D80	OT_14	4	4	33	3
D81	OT_10	4	1	6	2
D81	OT_10	4	2	58	5
D81	OT_10	4	3	19	2
D81	OT_10	4	4	10	2
D82	OT_26	3	1	6	2
D82	OT_26	3	2	66	3
D82	OT_26	3	3	4	1
D83	OT_46	3	1	39	5
D83	OT_46	3	2	15	3
D83	OT_46	3	3	1	1
D84	CP_77	3	1	20	3
D84	CP_77	3	2	11	3
D84	CP_77	3	3	35	6
D85	CP_86	5	1	2	2
D85	CP_86	5	2	39	8
D85	CP_86	5	3	3	2
D85	CP_86	5	4	246	17
D85	CP_86	5	5	9	1
D86	CP_85	3	1	2	2
D86	CP_85	3	2	4	2
D86	CP_85	3	3	5	1
D87	CP_26	4	1	19	2
D87	CP_26	4	2	2	1
D87	CP_26	4	3	13	1
D87	CP_26	4	4	32	2
D88	MM_14	4	1	31	4
D88	MM_14	4	2	49	6
D88	MM_14	4	3	39	5
D88	MM_14	4	4	20	4
D89	MM_17	3	1	83	7
D89	MM_17	3	2	32	3
D89	MM_17	3	3	80	5
D90	MM_21	3	1	15	2
D90	MM_21	3	2	40	5
D90	MM_21	3	3	12	1
D91	MM_23	5	1	20	3
D91	MM_23	5	2	32	3
D91	MM_23	5	3	29	3
D91	MM_23	5	4	44	2
D91	MM_23	5	5	34	3
D92	JE_3	3	1	14	2
D92	JE_3	3	2	5	2
D92	JE_3	3	3	3	1
D93	JE_7	3	1	5	2
D93	JE_7	3	2	13	2
D93	JE_7	3	3	8	1
D94	JE_36	3	1	7	2
D94	JE_36	3	2	23	2
D94	JE_36	3	3	20	1
D95	JE_44	4	1	10	2
D95	JE_44	4	2	3	2
D95	JE_44	4	3	5	2
D95	JE_44	4	4	3	2
D96	JE_8	4	1	23	2
D96	JE_8	4	2	14	2
D96	JE_8	4	3	29	1
D96	JE_8	4	4	11	1
